data_id,k,state,MLE,true
0,581,1,0.03730654424447051,0.03540953359474416
0,581,2,0.01686281440989769,0.015168973078048282
0,581,3,0.02989070936380473,0.032203391454580246
1,607,1,0.22821323010732666,0.21273171840025007
1,607,2,0.015147119262670197,0.014770711246182632
1,607,3,0.11261793795156279,0.09304120221768666
2,578,1,0.011673680281048563,0.011481610800471713
2,578,2,0.05305751734607925,0.05288086042264887
2,578,3,0.02372222489811416,0.022756785306554936
3,1107,1,0.026029332969412206,0.02027860190799567
3,1107,2,0.050067365662850014,0.04745163097715483
3,1107,3,0.05333915384684978,0.05447359793096275
4,1134,1,0.014666553926990523,0.015556718684004996
4,1134,2,0.011247527094191481,0.01127224210367916
4,1134,3,0.012674550467046786,0.014153947766169548
5,2874,1,0.03434783701884312,0.035535284222030866
5,2874,2,0.027204004107241653,0.02828443258730005
5,2874,3,0.204431080327564,0.22236608634763186
6,1198,1,0.029152867975418915,0.028478044929339415
6,1198,2,0.028516919561741683,0.02727875979962492
6,1198,3,0.01115318208920877,0.011143109449211822
7,1104,1,0.042429652049918005,0.04061002692345762
7,1104,2,0.04093688462885325,0.04200334348983696
7,1104,3,0.013792839682382116,0.013739095936672082
8,1529,1,0.05078551683648707,0.05041056578798835
8,1529,2,0.011414610932116407,0.010614979533374556
8,1529,3,0.01434547378460519,0.01250039408753563
9,1448,1,0.06748862244007571,0.07898377968863358
9,1448,2,0.02354537607488954,0.018805565464580988
9,1448,3,0.016857322007369113,0.017163730500776842
10,2147,1,0.010778533721779544,0.011007995704680525
10,2147,2,0.037671576940912485,0.038268033544378306
10,2147,3,0.019182689305336165,0.01904975614506762
11,737,1,0.015490990579968021,0.014809091795697253
11,737,2,0.012439887040995214,0.01230750273669936
11,737,3,0.27257511514835947,0.35969185660615144
12,997,1,0.026645559943071252,0.025399055770889526
12,997,2,0.015630964534273654,0.014201469176140217
12,997,3,0.04243961855181865,0.03781901991903092
13,803,1,0.11761541904081607,0.10182735151136384
13,803,2,0.09965232748374221,0.08594744952821048
13,803,3,0.022421867472586312,0.02410349641793956
14,2027,1,0.0,0.08178979706910589
14,2027,2,0.0,0.010320014883755644
14,2027,3,inf,0.1068082737825488
15,1357,1,0.02414726625237489,0.02417362451215318
15,1357,2,0.04101774652453521,0.04145433410715294
15,1357,3,0.015263758406132632,0.014835435507721905
16,1577,1,0.015474698329255387,0.014017828493830865
16,1577,2,0.010844518820623199,0.010082571086938774
16,1577,3,0.06671024293294399,0.06145056208026617
